PCA0;PCA1;PCA2;PCA3;PCA4;PCA5;PCA6;PCA7;PCA8;PCA9;PCA10;PCA11;PCA12;PCA13;PCA14;PCA15;PCA16;PCA17;PCA18;PCA19;PCA20;PCA21;PCA22;PCA23;PCA24;PCA25;PCA26;PCA27;PCA28;PCA29;PCA30;PCA31;PCA32;PCA33;PCA34;PCA35;PCA36;PCA37;PCA38;PCA39;PCA40;PCA41;PCA42;PCA43;PCA44;PCA45;PCA46;PCA47;PCA48;PCA49;PCA50;PCA51;PCA52;PCA53;PCA54;PCA55;PCA56;PCA57;PCA58;PCA59;PCA60;PCA61;PCA62;PCA63;PCA64;PCA65;PCA66;PCA67;PCA68;PCA69;PCA70;PCA71;PCA72;PCA73;PCA74;PCA75;PCA76;pKd
-5,426206398;3,080152817;-6,397745115;0,886210588;1,389272877;0,928420663;0,409447683;0,617377902;1,102477157;1,167165024;-0,263206755;-1,164628118;-2,877836963;7,259778214;3,048941883;-1,287020833;2,008608859;-0,021268219;-1,789013766;-3,009998384;-9,225075744;2,931338086;1,2517439;-2,082656812;-0,364786735;1,887868691;-3,907634833;0,815840801;-2,757118968;-1,987126971;-2,367584985;-2,271334626;-2,678848822;0,748039692;-2,298428653;3,590113402;0,462585398;2,034608912;3,670204206;-1,464524662;-2,044405484;0,605609935;-1,413309416;1,560011061;1,594730501;1,900720388;-0,709895292;-0,424618349;2,678507394;-1,096319347;-0,61767304;2,660584248;-1,969894173;-0,087197188;-0,379319496;-1,247169393;-4,301420118;1,094017848;-0,18227291;3,594140007;0,086299498;0,448768205;0,346898937;1,6960977;2,371532438;-1,290265339;-2,393621059;0,578599254;-3,725009633;3,214274454;-0,317940516;2,16121803;-0,377416221;0,476328057;-1,1506369;-1,478249504;-2,24723168;7.844663962534938
-14,76523143;1,380199612;-1,502603965;-0,276616323;-1,620100075;1,397047595;3,579364739;2,883120201;-0,929922507;1,507101361;-1,22802813;-1,26049574;2,231154623;2,031432845;-1,625191665;0,1744174;-1,141485543;-1,79560326;0,056104751;2,815355673;0,243044026;0,944410303;0,497077141;5,143976267;-0,779047717;-4,593151263;0,240449537;1,473644722;-0,672741228;1,144051685;1,293766045;-2,337566912;-2,966749212;-1,699118555;1,269537116;1,216505539;0,182969467;0,030366051;-0,012677027;-1,446387868;-0,195848626;-0,48209724;-0,847598865;0,107865808;0,588562094;-0,635637997;0,279500346;-0,507862314;-1,306585804;-0,819020761;-1,002901936;-0,537401667;-1,022153556;0,746821321;-0,584295748;-0,811322679;0,3468594;-1,291007708;1,732707556;0,36886243;-0,738178925;-1,371493027;0,15535006;0,038664169;1,095557862;-1,228996967;-0,091876411;0,138994634;-1,201850997;0,16562145;0,566415634;-1,095982442;0,302061998;-0,462700234;0,495507252;0,408579437;1,184980731;6.647817481888637
8,389124476;-6,782423069;9,67792321;-0,32418603;-5,414452527;0,055611964;0,566200227;-2,054893894;0,30921841;1,21668506;-0,602237206;2,513691631;5,654092057;-2,902393931;5,294622081;0,48275104;2,668762899;-2,886862552;2,005208781;-1,461084285;-0,713050457;1,043114737;1,832183959;-1,068732046;-0,126428414;0,890359604;0,403258686;1,728674635;1,16983614;-3,201784268;-1,71788923;-3,80844092;1,659734676;-0,686234705;1,57028045;3,163296055;-1,958806525;-3,736567111;-1,223340754;2,72632617;0,530409605;1,763632313;-0,216675907;-1,20002571;-0,945099389;-1,679004941;1,518208512;-1,609207855;-2,123438051;-1,886551525;-0,332807155;1,681949817;-0,463361895;-1,970097707;0,320293406;-1,147815263;-0,563194233;2,552724023;-0,551402723;0,970429938;-0,373705204;-2,095779301;0,735689651;-1,035814319;-0,967044294;-1,175494947;-0,281900355;-1,105995984;-1,019205297;-0,971455254;1,936478783;2,462709345;0,283611013;-2,322060507;0,58352347;-0,440413139;0,945841811;8.031517051446064
-6,675152645;0,555077781;3,734123807;3,22793617;-5,061997638;0,085190695;0,265019134;0,057256286;-0,775870637;-1,832630289;2,072004429;-0,146080581;-1,084569795;0,587452732;1,164295756;-1,462697471;0,730590236;-1,431533747;1,193090728;0,205858984;0,069818292;-0,058931876;1,265231089;-0,32688119;-1,491479524;0,168237017;-0,71709995;0,481029977;-1,274771866;1,205466173;0,573677131;-0,324430292;-0,334536215;-0,963296439;-0,604193382;-0,814665057;0,163093976;-0,772152555;0,386875704;0,201856327;0,204317141;0,683421251;0,399932286;0,044080266;-0,365735744;0,848900174;0,364867622;0,259060785;0,403695373;-0,744674394;-0,3487919;-0,64406168;-0,64878524;0,053707859;0,533204383;0,498289855;-0,138335267;-0,367749269;-0,368060908;-1,223111619;-0,767475607;-0,502869733;-1,018099951;0,259273816;-0,500874378;0,094857158;-0,062775469;-0,990154405;0,087799902;-0,807859421;0,212176379;-1,477841165;0,231667652;0,278744247;0,552543279;0,048693106;-0,125699674;4.301029995663981
22,07833707;13,03485143;-4,347652701;12,76564623;-6,562532602;-3,432722467;-4,060488102;-15,60120834;2,120621828;-2,363674966;0,513522567;-1,819614077;1,368973141;1,226509549;-0,986327948;-2,838085368;-1,057627602;-2,754778488;1,154224118;0,006893246;0,433205383;-0,55623228;0,520861829;-0,997403909;0,631272385;-0,681993803;-0,731118328;-1,140842568;2,935859711;1,630039174;0,814460029;-2,844216126;-0,429231336;-0,429445482;-0,141637481;0,967108341;0,68437933;2,008709242;-0,091212723;-0,61839225;-0,407238887;-1,234681688;1,140320691;0,391836009;0,062698946;0,174524098;-1,031681458;0,255037793;2,588388858;-1,477596169;-1,59896336;1,536922113;0,591438085;-0,530701734;-1,316589124;2,461114951;0,58251994;-1,332762521;-0,577451034;-0,176234555;1,048906943;0,270723447;0,190090618;-0,957293211;0,222514355;1,493058888;-1,032779465;-0,42089489;0,733636156;1,410241246;-0,058813298;1,741972039;0,617757368;-1,208627103;-1,018351243;1,128998139;0,395572811;7.1249387366083
2,764706997;-8,04299517;0,977625021;-2,240474855;0,767355483;-1,627942246;-3,94578555;-2,461731887;2,819740682;-1,17024876;-2,007631293;0,744564041;-1,463900345;1,604319327;-2,393876257;0,185878135;-2,512683462;0,247883625;-2,594502201;-0,299441481;1,445697278;-0,324514664;-0,456607484;-0,253006219;1,753902557;-2,221823981;-0,387690354;0,06892592;-0,307347238;-1,253853078;-0,637376166;0,963304367;0,818703996;0,504408399;-1,137939426;-0,457186394;-0,21952389;1,370994896;-0,815601136;1,052616616;-0,267571916;0,501394363;0,08673899;0,184458887;-0,108392956;1,27682093;0,218655666;0,462337038;0,38265041;0,006876562;-0,273346883;0,847442908;-0,231509771;0,117187144;-1,139801038;0,288703118;0,382457891;0,76172273;-1,521392396;-0,752477746;0,459037893;-0,11247731;-0,403296491;1,267950116;0,854582307;0,785554673;0,743345676;0,752432016;0,123854107;-1,646756726;-0,29821075;-0,299288798;-0,255414835;0,180119707;0,832045946;1,758719021;-0,001410927;7.744727494896692
9,786607237;17,63474594;13,11635538;-4,580099877;6,517185005;-1,599602429;-0,16513815;-0,138714926;-3,981275318;0,005470563;1,280578294;0,793189005;-3,198169664;-2,568646436;1,759510115;1,271190586;-1,539065269;2,703376423;-0,258371559;-1,009503186;2,996550876;2,68478417;-2,331213948;1,43293695;2,260901262;-0,359527742;-0,95072591;-1,66941709;-0,632639681;-0,360593702;-2,385496471;-3,393940063;-1,77775097;-1,348353539;-0,839374993;-1,79280955;2,045216206;-2,267406898;1,408127161;0,225702782;0,180050497;-0,141594711;1,204123733;-0,032633229;-0,728798467;0,845002387;-1,298316454;1,19170172;-0,091183348;0,742134074;0,052534587;0,428049325;0,413622299;-0,244672816;0,770248185;0,992957893;1,021800434;-0,131087768;-0,661894399;1,668092295;-0,869006367;0,209376012;-1,022499812;0,119137167;-1,710419459;0,666171722;-2,840559179;-0,443868069;0,171432598;0,470286094;-0,32492243;1,494230479;-1,25309747;-0,050112023;1,486788567;-0,613354853;-0,581190045;6.107905397309519
-5,340918295;-2,796439069;0,736357087;-2,778018096;-2,935474298;3,677171447;1,181768933;-3,20397405;-0,27834255;2,546141265;-3,687940086;-1,775730125;-0,065975903;-0,341228652;-2,416149146;0,488144826;-1,770878989;0,782756335;-0,990837459;2,588744849;1,001002863;1,097981792;-0,877311845;-0,411030495;0,49961143;0,309609475;0,888496328;0,152292549;-0,107481547;2,227255617;0,353569178;0,552003471;-1,649306044;-0,3149889;-0,668972582;0,005855417;-0,486188239;0,546804794;0,559422087;-0,230087867;-0,657590555;-0,996678892;0,457494066;-0,615540435;-0,13114512;0,06703538;0,35807071;0,39983208;0,017954662;-0,144333064;0,230386668;0,435044884;-0,548939099;0,013428472;-0,830814318;0,189044058;-0,200067433;0,3395428;-0,50964205;-0,477595985;-0,102281583;-0,837664803;-0,07103109;0,259274672;-0,401570813;0,11952974;-0,280187306;-0,019306345;-0,19122903;-0,055816176;-0,157917072;-0,78325203;0,495719548;0,61534939;-0,558065498;-0,645501401;-0,062435622;7.954677021213343
15,74858351;-4,168055136;0,530879383;-1,847713388;1,582411235;-2,590987485;4,681246729;-2,319280612;-2,826398467;2,670591932;-2,021614619;-1,140282307;1,39021249;-2,608301589;6,396773634;0,850113677;2,277631645;-1,912720693;3,135741499;-0,759587083;0,833782376;-0,539663949;2,577230286;-0,807542303;-0,43358386;-0,483854518;0,449248053;-0,10909329;-1,471532365;-0,047677714;-0,385208179;0,194172369;1,221161645;-0,589391502;1,064734405;-1,310432919;0,270807392;0,651511166;-0,978684512;0,137442427;-1,55819764;1,613913151;-0,659267482;-0,066525751;-0,089243546;1,258329906;1,08060297;-0,052497208;-0,057903468;-0,058938339;1,060834947;-0,415926904;-0,694493281;0,318959256;2,74364073;-0,401731107;-0,730654468;1,122582124;-0,605412325;0,916372084;-0,465693485;1,239161023;0,315184122;-0,120291909;1,974549838;-0,740659707;0,833740243;1,16286257;1,407567859;2,463433241;-0,655338285;-2,327645308;0,118821921;-0,395870843;1,054666456;0,170219829;-0,569609161;10.795880017344077
-10,66788954;-2,256339524;1,384983912;-0,243339145;-0,118041259;-1,878588246;-1,548416378;2,362699962;1,527719992;-1,435533636;0,22940959;-1,310688472;-0,59785013;0,036255707;-0,291394414;0,660566997;-1,056734174;0,879891826;-1,44565059;0,442844176;-0,529715461;-3,905875693;0,750760922;1,143831149;0,459335648;-1,968387535;-0,187540215;0,349265589;-0,014830303;-0,59292567;0,607012303;0,293276547;0,861613991;-0,090969309;-0,523911616;-0,676670087;0,725302833;1,290759746;-1,939439105;0,952137145;-0,150222672;0,451618738;-0,133287793;0,644292096;-0,156120122;0,552155464;-0,816051069;-0,098267444;1,256138156;0,006588812;-1,481630436;0,461915435;-0,044582856;-0,939945079;-0,894830708;0,662288355;-0,698786363;-0,49756414;-0,255605785;0,351849678;0,178291042;0,064359362;-0,159357008;0,235756322;0,352065063;-0,314452409;0,279679287;0,103046494;-0,307545756;-0,921884893;0,323750842;-0,301903223;-0,145116128;-0,176894979;0,262994145;0,034052902;-0,50300696;7.698970004336019
